Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Home_Page,169,46,31,154,23.21,0.592%,5.67972,4.75,0.60,856.3
Article_Software,162,41,31,351,28.70,0.000%,5.69380,4.68,0.61,842.2
Article_Performance,156,39,30,123,13.15,1.282%,5.64665,4.81,0.59,872.3
TOTAL,487,42,30,351,22.91,0.616%,16.36700,13.69,1.73,856.7
